"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"project-Final.nlogox"
"experiment"
"01/26/2026 14:32:15:586 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","initial-distribution","exposureChance","population","[step]","count turtles","violenceLevel","peopleLeavePlatform","hateSpeechSpread","mean [opinion] of turtles","mean [radicalization] of turtles","mean [trust-in-platform] of turtles"
"121","Moderate Majority","0.4","500","20000","500","87.6","0","1883662","0.30437783266955026","0.8769339811842662","0.9727099999999999"
"120","Moderate Majority","0.4","500","20000","500","89.8","0","2033125","0.2636218106769788","0.8987207557865615","0.9846999999999999"
"123","Moderate Majority","0.4","500","20000","500","89","0","1943344","0.287299327447621","0.8909271498786178","0.9717400000000003"
"124","Moderate Majority","0.4","500","20000","500","87","0","1863893","0.6918877977307363","0.8713555533023026","0.9806799999999998"
"125","Moderate Majority","0.4","500","20000","500","88.2","0","1961497","0.7151419958789974","0.883169643382698","0.9797300000000001"
"126","Moderate Majority","0.4","500","20000","500","89.2","0","1962025","0.28263269971423083","0.8927584573292697","0.9776599999999999"
"127","Moderate Majority","0.4","500","20000","500","88","0","1883786","0.3060006272493748","0.8811307271298525","0.97178"
"129","Moderate Majority","0.4","500","20000","500","86.6","0","1772742","0.6730146450632615","0.8669466232253747","0.9694399999999997"
"128","Moderate Majority","0.4","500","20000","500","89","0","1995659","0.2753689767494061","0.8911378924058535","0.9843400000000002"
"131","Moderate Majority","0.4","500","20000","500","89.4","0","1974611","0.2769535968943549","0.8951133942336883","0.9826000000000003"
"130","Moderate Majority","0.4","500","20000","500","88.8","0","1980338","0.2800634172110459","0.8892927601992124","0.9803399999999999"
"132","Moderate Majority","0.4","500","20000","500","87.6","0","1914819","0.7098403770388624","0.8776476443614654","0.9802699999999999"
"134","Moderate Majority","0.4","500","20000","500","87","0","1883103","0.6886237376636078","0.8712411940258277","0.9773200000000002"
"136","Moderate Majority","0.4","500","20000","500","85.6","0","1811734","0.3267304468398635","0.8575592260228253","0.9696000000000004"
"133","Moderate Majority","0.4","500","20000","500","88.2","0","1961626","0.7117604851309541","0.8833679294683974","0.9689099999999999"
"137","Moderate Majority","0.4","500","20000","500","88","0","1885516","0.3087256705754009","0.8809585916456053","0.9612999999999999"
"135","Moderate Majority","0.4","500","20000","500","89.8","0","2045584","0.2606123357334576","0.8986495148924797","0.9876399999999997"
"138","Moderate Majority","0.4","500","20000","500","90","0","2074118","0.2517465710649444","0.9012933487454036","0.9865499999999999"
"139","Moderate Majority","0.4","500","20000","500","85.6","0","1735931","0.6603394089608234","0.8572669723041084","0.9614899999999997"
"141","Moderate Majority","0.4","500","20000","500","85","0","1793431","0.6667463052650444","0.8517357737611276","0.9561200000000003"
"140","Moderate Majority","0.4","500","20000","500","91.4","0","2110996","0.7683281136097807","0.9150350723358558","0.9922800000000003"
"142","Moderate Majority","0.4","500","20000","500","88.6","0","1937965","0.7134902013966246","0.8871789797843593","0.9762299999999998"
"146","Moderate Majority","0.4","500","20000","500","87.8","0","1921356","0.7036845377117835","0.8794873518924171","0.9796000000000001"
"143","Moderate Majority","0.4","500","20000","500","87.2","0","1907880","0.7050449969324168","0.8735520286197739","0.9792000000000002"
"148","Moderate Majority","0.4","500","20000","500","86","0","1801081","0.3235927158220051","0.8619304774168027","0.96907"
"149","Moderate Majority","0.4","500","20000","500","89","0","1992765","0.723045715408385","0.8912503844334242","0.9858"
"144","Moderate Majority","0.4","500","20000","500","87.6","0","1893513","0.7003086468516481","0.8770407706778501","0.9763999999999999"
"145","Moderate Majority","0.4","500","20000","500","89.4","0","1981357","0.7188961588248856","0.895122944563691","0.9753299999999999"
"147","Moderate Majority","0.4","500","20000","500","88.2","0","1956080","0.7159322203938906","0.8835853334873232","0.98307"
"150","Moderate Majority","0.4","500","20000","500","89.4","0","2017715","0.2644020940770319","0.8953258232206762","0.9846600000000001"
"152","Moderate Majority","0.6","500","20000","490","83.06122448979592","10","1875929","0.6990811650171923","0.8324899860692347","0.9054081632653064"
"151","Moderate Majority","0.6","500","20000","497","86.72032193158954","3","2066651","0.7466009777821093","0.8690494843292929","0.9343460764587522"
"153","Moderate Majority","0.6","500","20000","496","87.09677419354838","4","2120963","0.2430122160081382","0.8725820734347763","0.9396169354838709"
"154","Moderate Majority","0.6","500","20000","496","80.84677419354838","4","1828987","0.31187968336732325","0.8098009216533161","0.9060786290322583"
"155","Moderate Majority","0.6","500","20000","497","85.71428571428571","3","2040438","0.2623439861501518","0.8583427233419098","0.9221126760563374"
"156","Moderate Majority","0.6","500","20000","498","83.53413654618474","2","1967642","0.7234459232919777","0.8372470640098034","0.9389056224899596"
"157","Moderate Majority","0.6","500","20000","488","82.37704918032787","12","1801477","0.6838768026204993","0.8253819823589287","0.9022848360655739"
"159","Moderate Majority","0.6","500","20000","457","70.67833698030634","43","1314892","0.5893947156781877","0.7094114512942323","0.813336980306345"
"162","Moderate Majority","0.6","500","20000","497","84.10462776659959","3","1959491","0.2832085053052935","0.8430865625640178","0.9234406438631789"
